región,ave,ovino,porcino,vacuno,caprino,alpaca,llama,year
La Libertad,140698998,188941,309578,58195,35654,1377,0,2019
Cajamarca,1768812,99840,150866,196668,28924,0,0,2019
Amazonas,102828,3532,34042,62118,4816,0,0,2019
Ancash,17185743,132633,49555,72763,20509,390,0,2019
Lima,416797807,64093,1178439,113481,40739,2831,2030,2019
Ica,45451220,9044,212080,13058,17363,0,0,2019
Huánuco,646070,157449,208424,149251,23327,1256,0,2019
Pasco,300084,107119,36228,23223,1059,15701,3832,2019
Junín,5131255,303867,114371,61103,3585,12751,8636,2019
Huancavelica,508566,110863,44440,29731,25727,22349,7899,2019
Arequipa,75369645,146807,198540,35096,10335,37588,9379,2019
Moquegua,95558,4033,26011,3495,689,4117,1353,2019
Tacna,8886158,8114,68881,5040,5343,7956,4650,2019
Ayacucho,544510,166207,62319,97165,28248,44781,8451,2019
Apurímac,405658,79281,71343,42496,18390,22860,9923,2019
Cusco,1899521,302899,120446,73001,3901,90127,19710,2019
Puno,1354640,629215,77140,146350,0,209199,39927,2019
San Martín,18414920,6854,70713,56686,0,0,0,2019
Loreto,12043022,2359,60322,13923,35,0,0,2019
Ucayali,7328098,2288,21739,15802,0,0,0,2019
Madre de Dios,4328446,2072,17517,14653,0,0,0,2019
Tumbes,132556.70857681282,2975,6650,4958,25750,0,0,2018
Piura,14745978.253396869,129317.059491818,105011.10576396,45439.79632905506,86590.82462095999,0,0,2018
Lambayeque,11540012.230169695,30784,30218,22165,27998,0,0,2018
La Libertad,134659466.61810154,185193,306250,55173,36726,1259,0,2018
Cajamarca,1773889.2490148798,100940,145709,192900,28894,0,0,2018
Amazonas,102828.07926429677,3378,33636,61709,4572,0,0,2018
Ancash,16441575.135319654,132673.9242237113,49016,71244,20565,381,0,2018
Lima,399961650.4932463,67076,1127541.7665,115837,40586,2841,2354,2018
Ica,41472255.49962546,5913,102194,11880,14133,0,0,2018
Huánuco,650405.6057059699,165231,219610,146932,25971,1137,0,2018
Pasco,308980.11376605835,104294,34195,22594,1109,15428,4117,2018
Junín,5002167.028678041,314170,102607,75790,5357,11575,11275,2018
Huancavelica,509585.28102465154,112783,43011.96,31298,24103,25355,9733,2018
Arequipa,74439607.90653187,141922,210205,34646,13680,41142,10331,2018
Moquegua,94026.90281032312,4148,27007,3536,647,4610,1454,2018
Tacna,9123568.26677219,7828,68005,4960,5170,7332,4469,2018
Ayacucho,547793.435585014,149330,56117,89704,27672,41197,8081,2018
Apurímac,411456.9735984978,80659,67544,42220,17431,22643,9623,2018
Cusco,1878734.824851952,287811,108714,69027,3524,85680,18455,2018
Puno,1357989.8304726607,647020,77010,145300,0,209884,39834,2018
San Martín,17897108.211513445,6120,67277,57922,0,0,0,2018
Loreto,11883178.137829602,3361,65574,13930,88,0,0,2018
Ucayali,6692155.278023975,2472,23330,15092,0,0,0,2018
M.de Dios,4214165.964925794,2225,14474,13908,0,0,0,2018
Tumbes,71935.69529324083,3096,7991,5673,32867,0,0,2017
Piura,13281846.796663174,115852.64246437096,110733.78628555202,45661.07814962618,94622.26375054763,0,0,2017
Lambayeque,10413791.13863676,28880,29483,22198,30600,0,0,2017
La Libertad,123377859.8617261,184002,298028,54880,37209,1174,0,2017
Cajamarca,1833960.5716754925,102957,147970,210048,28609,0,0,2017
Amazonas,1736237.4098508882,3305,33563,59675,4507,0,0,2017
Ancash,17683178.81529492,132418.9242237113,42272,70685,20432,348,0,2017
Lima,377518801.8355558,80867,1132149,116208,48379,2939,1597,2017
Ica,34888755.42416205,5024,93401,12350,14913,0,0,2017
Huánuco,637988.0127853153,163418,207816,120539,26502,978,45,2017
Pasco,205633.28363101688,99700,34316,21814,1189,13273,3896,2017
Junín,5570881.595905356,304545,106651,77250,4659,14982,9563,2017
Huancavelica,505939.04775819887,126716,42772,33790,28698,30246,11023,2017
Arequipa,69740818.91966404,136584,202875,34053,15642,47101,11994,2017
Moquegua,86126.85088097818,3991,21597,4227,861,4653,1788,2017
Tacna,9438792.487656916,7851,66586,5042,5022,6322,4418,2017
Ayacucho,549179.5652226908,154484,52959,88827,28342,42540,8586,2017
Apurímac,406961.94325745007,83655,70374,42914,18043,22936,9871,2017
Cusco,1986050.3774606283,287451,144583,68573,3693,83906,17966,2017
Puno,1351018.2522928247,660964,76729,142455,0,207665,40001,2017
San Martín,17537001.327123333,5439,59704,53557,0,0,0,2017
Loreto,10952706.331588078,3115,55401,10718,10,0,0,2017
Ucayali,5591666.709505866,2377,21547,15677,0,0,0,2017
Madre de Dios,3865818.4410884827,2349,13055,14409,0,0,0,2017
