región,ave,ovino,porcino,vacuno,caprino,alpaca,llama,year
Arequipa,2.2843960289250704,14.39820712321939,56.0838710564426,165.00818808513202,11.758357305822836,24.52902854322613,34.54042537257545,2023
Moquegua,2.099503081800684,21.27767391753999,47.08760433314874,202.39392002321762,15.43528890949379,27.724148437645812,33.27122305721785,2023
Tacna,2.231240316896745,24.09455270130169,42.610137607550044,188.5477776888604,14.99009797060726,27.674077427790667,28.3742697426326,2023
Ayacucho,2.1508176076978454,12.318857576780289,45.395377895767204,128.2312539744008,12.100032446463334,25.343960210848493,28.016409574468085,2023
Apurímac,2.1169713171682623,11.370891751762963,43.111992616274776,115.41397345881094,11.073306402261753,24.62187094223334,27.636175123885035,2023
Cusco,2.1857722237136055,13.080592536063408,39.773728933435734,155.4566568949191,12.945454545454549,26.837882999720986,30.544038461538456,2023
Puno,2.059723608003264,13.961444652135606,34.27855189477796,144.28297492183012,0,27.899605346316804,39.633558643134315,2023
San Martín,2.2649660270336125,11.05462578266744,39.43456299752207,110.80868767682824,0,0,0,2023
Loreto,2.2161298881534863,13.469157175398633,41.3360731417413,149.36494170922052,10.769906886038399,0,0,2023
Ucayali,2.244138190043655,11.746158346333853,44.999694808060006,127.26982069672133,0,0,0,2023
Madre de Dios,2.2043958323653614,16.142675015271838,62.431699990656824,162.02583474203794,0,0,0,2023
Tumbes,2.5744343161718524,12.741187384044526,47.97879501851228,148.52207870231302,10.451468500928048,0,0,2022
Piura,2.2071559521562008,15.724619411014798,52.359676579578746,153.32259663559833,13.988349860484194,0,0,2022
Lambayeque,2.2033965488151894,16.338387686680893,50.30621693121693,143.34481933476908,16.49745625314474,0,0,2022
La Libertad,2.2302712126375392,13.521389334269422,59.05841111383603,143.46298325246516,13.233712066733784,31.272205004157527,0,2022
Cajamarca,2.1606286009140674,11.258916044754123,41.302396993767395,131.70819752372265,10.240425967642844,0,0,2022
Amazonas,2.1189150744121625,15.861561119293079,52.55440366115625,141.90275216342744,12.59711916193802,0,0,2022
Ancash,2.250397075327635,10.77725483097253,30.042713608490946,138.3382162240046,10.119024198308086,25.762004175365345,0,2022
Lima,2.261083971235368,12.240873623434359,63.086777174020284,195.64656580049223,12.83753438499972,27.915057915057915,30.412633723892004,2022
Ica,2.1811303684054333,10.7560884226302,47.68494734138197,132.03928419660986,13.075380743142357,0,0,2022
Huánuco,2.0925449930062348,11.239102653322028,37.83577405364079,166.31291244615971,9.823621793581122,25.165165165165167,0,2022
Pasco,2.194898562328978,12.115471718221299,37.22061199887142,160.2380551108115,11.840077071290942,22.641435817401483,29.105652277605536,2022
Junín,2.224657130768479,11.307389709672163,44.88438576629554,131.17173418681043,10.37128712871287,22.37223974763407,28.077966101694916,2022
Huancavelica,2.1048951824288147,12.459240168003054,40.85806705059302,119.39991384482839,13.3094092960205,25.73901731211848,29.921837991473236,2022
Arequipa,2.2334007002256846,14.480044638923967,56.05164310475318,164.6272010836104,11.753789618741386,24.52485046220772,34.536532170119955,2022
Moquegua,2.0932687238382512,21.107888631090486,46.896321566300806,201.31652661064427,16.78866587957497,28.917934433254768,36.2818235642392,2022
Tacna,2.242469218126476,23.474835371589837,40.83851721992875,188.98976497346476,14.567521367521367,28.258587241812165,29.06700428515777,2022
Ayacucho,2.134893152761863,12.045666619539093,45.3565516506991,127.56066685261871,12.203288370979328,25.911534460065184,30.01969208736126,2022
Apurímac,2.074239019808259,11.697475311854006,42.19028878158159,112.75477925282325,11.352981408941119,26.19840478564307,28.312239228065284,2022
Cusco,2.184302754610793,13.23961474532064,35.607677728063635,157.41479699801533,12.895808383233533,26.989608094747254,30.672256325797278,2022
Puno,2.0835245934934057,14.023949303421684,34.142339075249325,144.71869962385813,0,27.991659120156335,39.72963385278094,2022
San Martín,2.2091874244588086,11.244204018547142,40.78731378370028,108.96084972583304,0,0,0,2022
Loreto,2.2091309201485165,12.576821773485513,41.443177170900164,148.95011019835704,10.963455149501662,0,0,2022
Ucayali,2.2018788282712873,11.949458483754512,47.39089941458222,127.24283594017582,0,0,0,2022
Madre de Dios,2.2025072063182556,17.52173913043478,63.95844973840606,160.7664072823374,0,0,0,2022
Tumbes,2.517797193153821,12.205972891566264,50.864689162234036,151.35498091603054,10.496706470424883,0,0,2021
Piura,2.2270642738942996,15.992124418847984,52.332891006696066,153.65081657020963,14.519948467588103,0,0,2021
Lambayeque,2.237541957260764,16.043422191940426,51.92988716410218,146.98514724444505,14.987976923020197,0,0,2021
La Libertad,2.2640631023004736,13.258329817141059,58.15064166126641,141.78799127668645,12.655655586757808,31.145766820113316,0,2021
Cajamarca,2.1272102738184318,11.47372060067402,41.983538753932514,131.40200687197813,10.625510787371297,0,0,2021
Amazonas,2.1221239809226384,15.895423197492168,52.65744832625792,144.605626177394,12.60018648018648,0,0,2021
Ancash,2.284436585568095,10.79674472763955,29.79135920375419,138.09480438210443,10.20676912541172,28.472689940528785,0,2021
Lima,2.265276640859059,12.25820111209271,64.15696813803821,193.01592621826234,13.200703767792353,29.260646651270203,29.81691204139229,2021
Ica,2.230895697917708,10.251987911967218,51.05128181449158,132.02095655344647,12.342422498617724,0,0,2021
Huánuco,2.1179577266555163,11.404803745944163,38.35522758396831,166.7014782515013,10.319160257742672,26.000319926873857,0,2021
Pasco,2.1632853665411655,12.330895293108897,36.30528229770282,159.67852589157746,11.445037608486018,22.978660355399114,28.889331392527904,2021
Junín,2.229359110693682,11.10416629123145,44.8240759009376,130.3357954442162,10.239827771797632,22.539487797295198,27.708503767491923,2021
Huancavelica,2.080677749894196,13.254359225652998,37.59114224475415,115.18557537248952,12.908444119539666,25.886983994090134,31.417847499176762,2021
Arequipa,2.2503126470408916,14.518312003357781,56.046503819765455,164.22557254413013,11.813423728813557,24.519552084529685,34.50558198541073,2021
Moquegua,2.120494902496575,21.184930080333235,47.52214941217419,201.0449979770886,16.889404958677687,29.64714311717861,36.25501573573574,2021
Tacna,2.2491213031419166,23.30153700638449,40.530005160328535,190.4032837550705,14.577683914114749,28.74721113198685,29.332199270959908,2021
Ayacucho,2.0952723896634864,11.84830329787307,44.626768607009076,127.61510054507136,12.302555275895449,26.280104700924507,30.664547101449276,2021
Apurímac,2.0302851907707398,11.1247413879011,40.479920751800854,111.69812961897432,11.202378430078758,25.61870879824054,27.794131197039057,2021
Cusco,2.155549720467301,13.11334007441627,40.412116367674365,155.70929341555595,12.900935476133366,27.00830617855285,30.554367267849155,2021
Puno,2.063126473994411,13.950879562524706,33.858447873443986,143.90512846449525,0,27.82096020575837,39.20748521826645,2021
San Martín,2.229687235765142,12.114001199760045,41.45837947619433,107.04509309320461,0,0,0,2021
Loreto,2.2205377381152918,13.630609352857817,44.74870543293718,143.4348042097279,3.517241379310345,0,0,2021
