región,year,specie,carne,poblacion,produccion,rendimiento
Piura,2023,ave,30965.58199647492,3987073.0,13887144.5286459,2.22980195335335
Lambayeque,2023,ave,25362.574165382262,2591887.0,11401955.784329852,2.224405588402564
La Libertad,2023,ave,305971.63496581285,25521509.0,137725806.66113016,2.2215998757491118
Cajamarca,2023,ave,3494.907816824102,889358.0,1594438.1007579518,2.1919369683669245
Amazonas,2023,ave,760.2049653484361,1529745.0,357854.2763652968,2.124342268785467
Ancash,2023,ave,37866.30653441015,2627008.0,16615562.742274417,2.278966239167343
Lima,2023,ave,992823.2228870406,92164669.0,436971133.3607748,2.272056772380293
Ica,2023,ave,95972.49888041928,19902381.0,43644691.36392748,2.1989501101098625
Huánuco,2023,ave,1242.685581894155,1756819.0,583119.7591032184,2.131098393587767
Pasco,2023,ave,549.7176773133879,139453.0,249313.6710380004,2.2049239218398093
Junín,2023,ave,9835.53688427492,2568571.0,4421884.130236473,2.2242864341515287
Huancavelica,2023,ave,940.7793002955204,388342.0,439667.6414537573,2.1397510564681124
Arequipa,2023,ave,162115.31496800587,16948124.0,70966379.25968105,2.2843960289250704
Moquegua,2023,ave,183.20841094236715,60446.0,87262.74923361128,2.099503081800684
Tacna,2023,ave,18512.862328639698,1189233.0,8297117.163241193,2.231240316896745
Ayacucho,2023,ave,1013.9557212664728,578129.0,471428.0363139547,2.1508176076978454
Apurímac,2023,ave,712.3697719280494,306580.0,336504.2153149912,2.1169713171682623
Cusco,2023,ave,3693.455784854684,1203466.0,1689771.5803980432,2.185772223713605
Puno,2023,ave,2552.121428455945,1556940.0,1239060.14308882,2.059723608003264
San Martín,2023,ave,37615.11159608275,4755028.0,16607362.38297871,2.2649660270336125
Loreto,2023,ave,25394.19831286516,4190254.0,11458804.12904137,2.2161298881534863
Ucayali,2023,ave,14646.529474516394,6165923.0,6526571.999664369,2.244138190043655
Madre de Dios,2023,ave,9015.898997814682,488634.0,4089963.728583373,2.2043958323653614
Tumbes,2022,ave,242.66,181885.0,94257.6,2.5744343161718524
Piura,2022,ave,32372.31,4946411.0,14666979.0,2.2071559521562008
Lambayeque,2022,ave,26526.58,2267950.0,12038949.6,2.203396548815189
La Libertad,2022,ave,319759.47,25462693.0,143372459.9,2.2302712126375392
Cajamarca,2022,ave,3638.76,887311.0,1684121.0,2.1606286009140674
Amazonas,2022,ave,792.47,1529300.0,373998.0,2.1189150744121625
Ancash,2022,ave,39267.08,2635008.0,17448956.2,2.250397075327635
Lima,2022,ave,976907.95,91713454.0,432052927.9,2.261083971235368
Ica,2022,ave,96667.93,17612888.0,44320106.4,2.1811303684054333
Huánuco,2022,ave,1285.22,1754696.0,614189.9,2.0925449930062348
Pasco,2022,ave,581.14,139821.0,264768.5,2.194898562328978
Junín,2022,ave,10501.71,2568199.0,4720597.1,2.224657130768479
Huancavelica,2022,ave,968.22,388036.0,459984.9,2.1048951824288147
Arequipa,2022,ave,174115.49,18320000.0,77959808.1,2.2334007002256846
Moquegua,2022,ave,190.98,60244.0,91235.3,2.0932687238382512
Tacna,2022,ave,19292.33,1187788.0,8603163.8,2.242469218126476
Ayacucho,2022,ave,1051.0,575566.0,492296.3,2.134893152761863
Apurímac,2022,ave,761.41,306060.0,367079.2,2.074239019808259
Cusco,2022,ave,3861.37,1204237.0,1767781.5,2.184302754610793
Puno,2022,ave,2662.14,1584985.0,1277709.9,2.0835245934934057
San Martín,2022,ave,39409.02,4758423.0,17838694.7,2.209187424458809
Loreto,2022,ave,26244.4,4190254.0,11879965.9,2.2091309201485165
